  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029440 99999 190601010600 090   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1011.0 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601011300 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1015.5 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601012000 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1016.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601020600 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1016.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601021300 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1015.6 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601022000 ***   0 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1015.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601030600 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 **** 1014.8 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601031300 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   25 **** 1014.6 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601032000 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   24 **** 1014.7 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601040600 ***   0 *** *** CLR * * *  0.0 ** ** ** ** ** ** ** ** *   18 **** 1013.1 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601041300 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   22 **** 1012.8 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601042000 270   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   20 **** 1008.7 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601050600 270   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   27 **** 1004.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601051300 230   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   30 **** 1002.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601052000 180   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   32 **** 1000.8 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601060600 180   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   30 ****  997.5 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601061300 180   9 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   28 ****  995.0 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601062000 180   5 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   28 ****  993.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601070600 180   2 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   28 ****  991.9 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601071300 180   2 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   32 ****  992.0 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601072000 140   2 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   34 ****  990.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601080600 140   5 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   30 ****  990.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601081300 180   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   32 ****  991.1 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601082000 140   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   31 ****  993.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601090600 140   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   30 ****  996.7 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601091300 140   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   29 ****  999.0 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601092000 140   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   28 ****  997.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601100600 140   9 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 ****  993.5 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601101300 140   7 *** *** OVC * * *  0.0 72 ** ** ** ** ** ** ** *   26 ****  994.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601102000 140   5 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 ****  995.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601110600 140   7 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   30 ****  997.2 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601111300 180   5 *** *** BKN * * *  0.0 ** ** ** ** ** ** ** ** *   27 ****  998.3 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601112000 180   5 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   27 **** 1000.4 ***** ****** *** *** ***** ***** ***** ***** ** 
029440 99999 190601120600 180   2 *** *** OVC * * *  0.0 ** ** ** ** ** ** ** ** *   26 ****  999.6 ***** ****** *** *** ***** ***** ***** ***** ** 
